employee_id,department,role,years_at_company,satisfaction_1_10,work_life_balance_1_10,growth_opportunities_1_10,would_recommend,salary_range
E2000,Operations,Senior,6.9,2,8,1,Yes,40k-60k
E2001,Engineering,Mid-Level,9.2,8,5,8,No,80k-100k
E2002,HR,Mid-Level,7.6,8,10,3,Yes,$60k-$80k
E2003,Support,Mid-Level,11.7,6,9,4,No,120k+
E2004,Engineering,Junior,8.2,3,1,8,Maybe,120k+
E2005,Sales,Mid-Level,5.1,2,1,3,No,120k+
E2006,Sales,Lead,1.5,,2,3,Maybe,100k-120k
E2007,Engineering,Lead,10.1,1,3,10,Maybe,40k-60k
E2008,Support,Senior,4.9,2,3,5,No,80k-100k
E2009,engineering,Junior,1.7,7,1,10,Yes,40k-60k
E2010,Sales,Junior,0.6,9,8,10,Maybe,80k-100k
E2011,Sales,Senior,14.0,7,7,5,No,120k+
E2012,Marketing,Senior,13.2,9,8,6,Yes,100k-120k
E2013,Engineering,Junior,9.7,4,2,3,No,40k-60k
E2014,HR,Mid-Level,8.0,6,10,9,yes,120k+
E2015,HR,Senior,3.4,10,4,3,Yes,80k-100k
E2016,Support,Mid-Level,11.6,10,1,2,Yes,100k-120k
E2017,Marketing,Senior,3.4,5,10,3,Maybe,40k-60k
E2018,HR,Senior,4.3,8,3,9,Maybe,60k-80k
E2019,Operations,Senior,7.3,5,3,2,Maybe,80k-100k
E2020,Operations,Junior,1.6,10,5,10,Yes,120k+
E2021,Support,Lead,8.0,9,,2,Yes,120k+
E2022,HR,Junior,7.8,3,1,9,No,40k-60k
E2023,HR,Senior,14.0,5,3,8,No,60k-80k
E2024,Marketing,Junior,1.5,2,9,1,No,100k-120k
E2025,Sales,Junior,4.6,3,4,10,Maybe,100k-120k
E2026,Support,Junior,14.6,3,4,2,Yes,60k-80k
E2027,MARKETING,Mid-Level,9.0,10,9,3,Maybe,80k-100k
E2028,Engineering,Lead,3.8,9,5,8,Yes,60k-80k
E2029,Engineering,Junior,6.1,4,10,9,Yes,40k-60k
E2030,Engineering,Lead,12.4,10,1,5,Yes,40k-60k
E2031,Operations,Lead,1.2,9,6,9,Maybe,100k-120k
E2032,Operations,Mid-Level,11.0,2,8,9,Maybe,100k-120k
E2033,Engineering,Junior,2.5,9,8,9,YES,120k+
E2034,Operations,Mid-Level,9.9,4,9,4,No,60k-80k
E2035,Marketing,Lead,5.5,6,6,4,Yes,120k+
E2036,HR,Mid-Level,11.3,4,10,1,Yes,80k-100k
E2037,Support,Senior,6.8,1,2,8,Yes,100k-120k
E2038,Engineering,Lead,1.7,1,7,,No,60k-80k
E2039,Support,Lead,1.4,8,1,8,Yes,60k-80k
E2040,Marketing,Mid-Level,1.3,5,10,7,Maybe,80k-100k
E2041,HR,Lead,9.6,1,2,5,No,80k-100k
E2042,Marketing,Senior,13.0,4,1,10,Yes,80k-100k
E2043,Operations,Lead,1.6,2,7,8,Yes,40k-60k
E2044,sales,Junior,3.3,2,7,4,Yes,60k-80k
E2045,Support,Senior,1.3,8,1,10,Yes,60k-80k
E2046,Support,Lead,14.1,1,8,2,No,60k-80k
E2047,HR,Senior,4.7,8,5,6,Maybe,120k+
E2048,Sales,Senior,3.9,8,3,3,Maybe,60k-80k
E2049,Marketing,Mid-Level,3.9,8,3,4,Yes,40k-60k
